2024-08-05 15:27:55,918 | INFO | tts.py | 45 | <module> | =================== tts korean models ===================
2024-08-05 16:25:04,528 | INFO | config.py | 41 | <module> | [Voice(id='b540ea02-6c7a-478e-9e60-5d766118f84a', name='m_basic', model_id='6c8d49f3-50b4-4025-bf5b-16e813a2686d', model_desc='m_tts_ko_pretrained_model', gender='FEMAIL', type='NORMAL', dataset='unknown', dataset_detail=None, train_info={'train_steps': None}), Voice(id='6d011056-6c16-44f0-a46a-4948460621cd', name='KSS', model_id='6c8d49f3-50b4-4025-bf5b-16e813a2686d', model_desc='m_tts_ko_pretrained_model', gender='FEMAIL', type='NORMAL', dataset='kss dataset', dataset_detail='Korean Single Speaker Speech Dataset', train_info={'train_steps': 111}), Voice(id='2c2f8911-7a67-446c-aadf-9b8397eb1d76', name='F-A2-B-021', model_id='6c8d49f3-50b4-4025-bf5b-16e813a2686d', model_desc='m_tts_ko_pretrained_model', gender='MAIL', type='GU-YEON-CHE', dataset='ai-hub', dataset_detail='133.감성 및 발화 스타일 동시 고려 음성합성 데이터 - TL_구연체_021', train_info={'train_steps': 111}), Voice(id='407f4e67-a488-479f-a807-271e1b66dab0', name='F-H3-D-005', model_id='6c8d49f3-50b4-4025-bf5b-16e813a2686d', model_desc='m_tts_ko_pretrained_model', gender='MAIL', type='GU-YEON-CHE', dataset='ai-hub', dataset_detail='133.감성 및 발화 스타일 동시 고려 음성합성 데이터 - TL_구연체_005', train_info={'train_steps': 111})]
2024-08-05 16:25:04,528 | INFO | config.py | 43 | <module> | ============== model-voice dict ============
2024-08-05 16:25:04,528 | INFO | config.py | 44 | <module> | {'6c8d49f3-50b4-4025-bf5b-16e813a2686d': '407f4e67-a488-479f-a807-271e1b66dab0'}
2024-08-05 16:27:19,281 | INFO | config.py | 44 | <module> | =============== provided voices ============
2024-08-05 16:27:19,281 | INFO | config.py | 45 | <module> | [Voice(id='b540ea02-6c7a-478e-9e60-5d766118f84a', name='m_basic', model_id='6c8d49f3-50b4-4025-bf5b-16e813a2686d', model_desc='m_tts_ko_pretrained_model', gender='FEMAIL', type='NORMAL', dataset='unknown', dataset_detail=None, train_info={'train_steps': None}), Voice(id='6d011056-6c16-44f0-a46a-4948460621cd', name='KSS', model_id='6c8d49f3-50b4-4025-bf5b-16e813a2686d', model_desc='m_tts_ko_pretrained_model', gender='FEMAIL', type='NORMAL', dataset='kss dataset', dataset_detail='Korean Single Speaker Speech Dataset', train_info={'train_steps': 111}), Voice(id='2c2f8911-7a67-446c-aadf-9b8397eb1d76', name='F-A2-B-021', model_id='6c8d49f3-50b4-4025-bf5b-16e813a2686d', model_desc='m_tts_ko_pretrained_model', gender='MAIL', type='GU-YEON-CHE', dataset='ai-hub', dataset_detail='133.감성 및 발화 스타일 동시 고려 음성합성 데이터 - TL_구연체_021', train_info={'train_steps': 111}), Voice(id='407f4e67-a488-479f-a807-271e1b66dab0', name='F-H3-D-005', model_id='6c8d49f3-50b4-4025-bf5b-16e813a2686d', model_desc='m_tts_ko_pretrained_model', gender='MAIL', type='GU-YEON-CHE', dataset='ai-hub', dataset_detail='133.감성 및 발화 스타일 동시 고려 음성합성 데이터 - TL_구연체_005', train_info={'train_steps': 111})]
2024-08-05 16:27:19,282 | INFO | config.py | 47 | <module> | ============== model-voice dict ============
2024-08-05 16:27:19,282 | INFO | config.py | 48 | <module> | {'6c8d49f3-50b4-4025-bf5b-16e813a2686d': ['b540ea02-6c7a-478e-9e60-5d766118f84a', '6d011056-6c16-44f0-a46a-4948460621cd', '2c2f8911-7a67-446c-aadf-9b8397eb1d76', '407f4e67-a488-479f-a807-271e1b66dab0']}
2024-08-05 16:33:02,042 | INFO | config.py | 44 | <module> | =============== provided voices ============
2024-08-05 16:33:02,043 | INFO | config.py | 45 | <module> | [Voice(id='b540ea02-6c7a-478e-9e60-5d766118f84a', name='m_basic', model_id='6c8d49f3-50b4-4025-bf5b-16e813a2686d', model_desc='m_tts_ko_pretrained_model', gender='FEMAIL', type='NORMAL', dataset='unknown', dataset_detail=None, train_info={'train_steps': None}), Voice(id='6d011056-6c16-44f0-a46a-4948460621cd', name='KSS', model_id='6c8d49f3-50b4-4025-bf5b-16e813a2686d', model_desc='m_tts_ko_pretrained_model', gender='FEMAIL', type='NORMAL', dataset='kss dataset', dataset_detail='Korean Single Speaker Speech Dataset', train_info={'train_steps': 111}), Voice(id='2c2f8911-7a67-446c-aadf-9b8397eb1d76', name='F-A2-B-021', model_id='6c8d49f3-50b4-4025-bf5b-16e813a2686d', model_desc='m_tts_ko_pretrained_model', gender='MAIL', type='GU-YEON-CHE', dataset='ai-hub', dataset_detail='133.감성 및 발화 스타일 동시 고려 음성합성 데이터 - TL_구연체_021', train_info={'train_steps': 111}), Voice(id='407f4e67-a488-479f-a807-271e1b66dab0', name='F-H3-D-005', model_id='6c8d49f3-50b4-4025-bf5b-16e813a2686d', model_desc='m_tts_ko_pretrained_model', gender='MAIL', type='GU-YEON-CHE', dataset='ai-hub', dataset_detail='133.감성 및 발화 스타일 동시 고려 음성합성 데이터 - TL_구연체_005', train_info={'train_steps': 111})]
2024-08-05 16:33:02,043 | INFO | config.py | 47 | <module> | ============== model-voice dict ============
2024-08-05 16:33:02,043 | INFO | config.py | 48 | <module> | {'6c8d49f3-50b4-4025-bf5b-16e813a2686d': ['b540ea02-6c7a-478e-9e60-5d766118f84a', '6d011056-6c16-44f0-a46a-4948460621cd', '2c2f8911-7a67-446c-aadf-9b8397eb1d76', '407f4e67-a488-479f-a807-271e1b66dab0']}
